05:21:40: ( 4 , T=P#R=O#211669182540508464 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Zach , Boss Practice Dummy , 35 , 1269233496 , Puncture ) Boss Practice Dummy suffers 35 Physical damage from Zach's Puncture. 
05:22:01: ( 3 , T=P#R=O#211669182577793363 , T=N#R=O#9223372041367849856 , T=X#R=X#0 , T=X#R=X#0 , Mythander , Normal Practice Dummy , 13 , 1714956323 , Haunting Pain ) Mythander's Haunting Pain hits Normal Practice Dummy for 13 Death damage. 
05:22:02: ( 7 , T=P#R=O#211669182502153733 , T=P#R=O#211669182502153733 , T=X#R=X#0 , T=X#R=X#0 , Maestro , Maestro , 0 , 265715720 , Sprint ) Maestro's Sprint fades from Maestro.
05:22:03: ( 3 , T=P#R=O#211669182577793363 , T=N#R=O#9223372041367849856 , T=X#R=X#0 , T=X#R=X#0 , Mythander , Normal Practice Dummy , 13 , 1714956323 , Haunting Pain ) Mythander's Haunting Pain hits Normal Practice Dummy for 13 Death damage. 
05:22:05: ( 3 , T=P#R=O#211669182577793363 , T=N#R=O#9223372041367849856 , T=X#R=X#0 , T=X#R=X#0 , Mythander , Normal Practice Dummy , 13 , 1714956323 , Haunting Pain ) Mythander's Haunting Pain hits Normal Practice Dummy for 13 Death damage. 
05:22:10: ( 1 , T=P#R=O#211669182499617226 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Syl , Unknown , 0 , 1790356495 , Changing Role ) Syl begins casting Changing Role.
05:22:12: ( 7 , T=P#R=O#211669182499617226 , T=P#R=O#211669182499617226 , T=X#R=X#0 , T=X#R=X#0 , Syl , Syl , 0 , 2075625347 , Wisdom of the Ages ) Syl's Wisdom of the Ages fades from Syl.
05:22:50: ( 7 , T=P#R=O#211669182708410162 , T=P#R=O#211669182699344356 , T=X#R=X#0 , T=X#R=X#0 , Dewin , Amondyl , 0 , 1793852735 , Flaring Intellect ) Dewin's Flaring Intellect fades from Amondyl.
05:22:50: ( 6 , T=P#R=O#211669182699344356 , T=P#R=O#211669182699344356 , T=X#R=X#0 , T=X#R=X#0 , Amondyl , Amondyl , 0 , 1092610256 , Temporary Rune Buff ) Amondyl gains Amondyl's Temporary Rune Buff.
05:22:50: ( 6 , T=P#R=O#211669182699344356 , T=P#R=O#211669182699344356 , T=X#R=X#0 , T=X#R=X#0 , Amondyl , Amondyl , 0 , 1092610256 , Temporary Rune Buff ) Amondyl gains Amondyl's Temporary Rune Buff.
05:22:52: ( 7 , T=P#R=O#211669182712202623 , T=P#R=O#211669182712202623 , T=X#R=X#0 , T=X#R=X#0 , Zellik , Zellik , 0 , 96862812 , Fanfare of Vigor ) Zellik's Fanfare of Vigor fades from Zellik.
05:22:52: ( 7 , T=P#R=O#211669182712202623 , T=P#R=O#211669182712202623 , T=X#R=X#0 , T=X#R=X#0 , Zellik , Zellik , 0 , 1250691886 , Combat Pose ) Zellik's Combat Pose fades from Zellik.
05:22:52: ( 7 , T=P#R=O#211669182712202623 , T=P#R=O#211669182712202623 , T=X#R=X#0 , T=X#R=X#0 , Zellik , Zellik , 0 , 517438039 , Planebound Resilience ) Zellik's Planebound Resilience fades from Zellik.
05:22:57: ( 6 , T=N#R=O#9223372041367849710 , T=N#R=O#9223372041367849710 , T=X#R=X#0 , T=X#R=X#0 , Arto Starbine , Arto Starbine , 0 , 2044533123 , Combat Pose ) Arto Starbine gains Arto Starbine's Combat Pose.
05:23:06: ( 1 , T=P#R=O#211669182557753792 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Razzldazzl , Unknown , 0 , 947831449 , Changing Role ) Razzldazzl begins casting Changing Role.
05:23:08: ( 7 , T=P#R=O#211669182557753792 , T=P#R=O#211669182557753792 , T=X#R=X#0 , T=X#R=X#0 , Razzldazzl , Razzldazzl , 0 , 1519850305 , Dark Armor ) Razzldazzl's Dark Armor fades from Razzldazzl.
05:23:08: ( 7 , T=P#R=O#211669182557753792 , T=P#R=O#211669182557753792 , T=X#R=X#0 , T=X#R=X#0 , Razzldazzl , Razzldazzl , 0 , 598632415 , Lifegiving Veil ) Razzldazzl's Lifegiving Veil fades from Razzldazzl.
05:23:12: ( 15 , T=N#R=O#9223372042227758486 , T=N#R=O#9223372041367852073 , T=X#R=X#0 , T=X#R=X#0 , Abyssal Infiltrator , Brother Jebiah , 0 , 795641470 , Crushing Blow ) Brother Jebiah dodges Abyssal Infiltrator's Crushing Blow.
05:23:12: ( 11 , T=N#R=O#9223372041367852072 , T=N#R=O#9223372042227758486 , T=X#R=X#0 , T=X#R=X#0 , Marcus the Brute , Abyssal Infiltrator , 0 , 0 ,  ) Marcus the Brute has slain Abyssal Infiltrator!
05:23:12: ( 23 , T=N#R=O#9223372041367852072 , T=N#R=O#9223372042227758486 , T=X#R=X#0 , T=X#R=X#0 , Marcus the Brute , Abyssal Infiltrator , 13166 , 671091319 , Thunderous Kick ) Marcus the Brute's Thunderous Kick critically hits Abyssal Infiltrator for 13166 Physical damage. (12705 overkill)
05:23:14: ( 14 , T=P#R=O#211669182577814538 , T=P#R=O#211669182577814538 , T=X#R=X#0 , T=X#R=X#0 , Aldrin , Aldrin , 881 , 316931269 , Falling Damage ) Aldrin takes 881 damage from Falling Damage. 
05:23:14: ( 1 , T=P#R=O#211669182723347354 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Vhati , Unknown , 0 , 1524707111 , Changing Role ) Vhati begins casting Changing Role.
05:23:18: ( 6 , T=P#R=O#211669182723347354 , T=P#R=O#211669182723347354 , T=X#R=X#0 , T=X#R=X#0 , Vhati , Vhati , 0 , 463220133 , Hellfire Blades ) Vhati gains Vhati's Hellfire Blades.
05:23:19: ( 1 , T=P#R=O#211669182499616930 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Fattop , Unknown , 0 , 1803733676 , Changing Role ) Fattop begins casting Changing Role.
05:23:19: ( 6 , T=P#R=O#211669182723347354 , T=P#R=O#211669182723347354 , T=X#R=X#0 , T=X#R=X#0 , Vhati , Vhati , 0 , 181877460 , Fell Blades ) Vhati gains Vhati's Fell Blades.
05:23:21: ( 7 , T=P#R=O#211669182499616930 , T=P#R=O#211669182499616930 , T=X#R=X#0 , T=X#R=X#0 , Fattop , Fattop , 0 , 517438039 , Planebound Resilience ) Fattop's Planebound Resilience fades from Fattop.
05:23:25: ( 6 , T=P#R=O#211669182577814538 , T=P#R=O#211669182577814538 , T=X#R=X#0 , T=X#R=X#0 , Aldrin , Aldrin , 0 , 58827058 , Aegis of Salvation ) Aldrin gains Aldrin's Aegis of Salvation.
05:23:33: ( 7 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 857666633 , Neddra's Strength ) Aoife's Neddra's Strength fades from Aoife.
05:23:33: ( 7 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 473115348 , Warlock Armor ) Aoife's Warlock Armor fades from Aoife.
05:23:35: ( 10 , T=N#R=O#9223372045344094368 , T=N#R=O#9223372045344094368 , T=X#R=X#0 , T=X#R=X#0 , Transcendent Wardstone , Transcendent Wardstone , 0 , 2068625741 ,  ) Transcendent Wardstone's  misses Transcendent Wardstone.
05:23:39: ( 12 , T=N#R=O#9223372041367909154 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Cannon , Unknown , 0 , 0 ,  ) Cannon has died.
05:23:43: ( 12 , T=N#R=O#9223372041367909611 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Cannon , Unknown , 0 , 0 ,  ) Cannon has died.
05:23:43: ( 12 , T=N#R=O#9223372041367909624 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Cannon , Unknown , 0 , 0 ,  ) Cannon has died.
05:23:45: ( 3 , T=N#R=O#9223372041367905968 , T=P#R=O#211669182525644584 , T=X#R=X#0 , T=X#R=X#0 , Guardian Soldier , Punklash , 86 , 32 , attack ) Guardian Soldier's attack hits Punklash for 86 Physical damage. 
05:23:46: ( 15 , T=N#R=O#9223372045344094368 , T=N#R=O#9223372045344094368 , T=X#R=X#0 , T=X#R=X#0 , Transcendent Wardstone , Transcendent Wardstone , 0 , 2068625741 ,  ) Transcendent Wardstone dodges Transcendent Wardstone's .
05:23:47: ( 8 , T=N#R=O#9223372041367905968 , T=P#R=O#211669182525644584 , T=X#R=X#0 , T=X#R=X#0 , Guardian Soldier , Punklash , 0 , 1222916500 , Pacifying Strike ) Punklash is afflicted by Guardian Soldier's Pacifying Strike.
05:23:47: ( 3 , T=N#R=O#9223372041367905968 , T=P#R=O#211669182525644584 , T=X#R=X#0 , T=X#R=X#0 , Guardian Soldier , Punklash , 210 , 1222916500 , Pacifying Strike ) Guardian Soldier's Pacifying Strike hits Punklash for 210 Physical damage. 
05:23:48: ( 9 , T=N#R=O#9223372041367905968 , T=P#R=O#211669182525644584 , T=X#R=X#0 , T=X#R=X#0 , Guardian Soldier , Punklash , 0 , 1222916500 , Pacifying Strike ) Guardian Soldier's Pacifying Strike dissipates from Punklash.
05:23:48: ( 8 , T=N#R=O#9223372041367905968 , T=P#R=O#211669182525644584 , T=X#R=X#0 , T=X#R=X#0 , Guardian Soldier , Punklash , 0 , 1222916500 , Pacifying Strike ) Punklash is afflicted by Guardian Soldier's Pacifying Strike.
05:23:48: ( 3 , T=N#R=O#9223372041367905968 , T=P#R=O#211669182525644584 , T=X#R=X#0 , T=X#R=X#0 , Guardian Soldier , Punklash , 211 , 1222916500 , Pacifying Strike ) Guardian Soldier's Pacifying Strike hits Punklash for 211 Physical damage. 
05:23:51: ( 12 , T=N#R=O#9223372041367909630 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Cannon , Unknown , 0 , 0 ,  ) Cannon has died.
05:23:51: ( 12 , T=N#R=O#9223372041367909632 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Cannon , Unknown , 0 , 0 ,  ) Cannon has died.
05:23:52: ( 12 , T=N#R=O#9223372041367909635 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Cannon , Unknown , 0 , 0 ,  ) Cannon has died.
05:23:53: ( 12 , T=N#R=O#9223372041367909618 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Cannon , Unknown , 0 , 0 ,  ) Cannon has died.
05:23:54: ( 6 , T=P#R=O#211669182525644584 , T=P#R=O#211669182525644584 , T=X#R=X#0 , T=X#R=X#0 , Punklash , Punklash , 0 , 1250691886 , Combat Pose ) Punklash gains Punklash's Combat Pose.
05:23:55: ( 6 , T=P#R=O#211669182525644584 , T=P#R=O#211669182525644584 , T=X#R=X#0 , T=X#R=X#0 , Punklash , Punklash , 0 , 517438039 , Planebound Resilience ) Punklash gains Punklash's Planebound Resilience.
05:23:56: ( 10 , T=N#R=O#9223372045344094368 , T=N#R=O#9223372045344094368 , T=X#R=X#0 , T=X#R=X#0 , Transcendent Wardstone , Transcendent Wardstone , 0 , 2068625741 ,  ) Transcendent Wardstone's  misses Transcendent Wardstone.
05:23:59: ( 1 , T=P#R=O#211669182525644584 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Punklash , Unknown , 0 , 1012591716 , Soul Recall ) Punklash begins casting Soul Recall.
05:24:01: ( 6 , T=P#R=O#211669182502155250 , T=P#R=O#211669182499620626 , T=X#R=X#0 , T=X#R=X#0 , Mordiggian , Marcheline , 0 , 53947900 ,  ) Marcheline gains Mordiggian's .
05:24:03: ( 12 , T=N#R=O#9223372041367909642 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Cannon , Unknown , 0 , 0 ,  ) Cannon has died.
05:24:03: ( 12 , T=N#R=O#9223372041367909645 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Cannon , Unknown , 0 , 0 ,  ) Cannon has died.
05:24:03: ( 9 , T=N#R=O#9223372041367905968 , T=P#R=O#211669182525644584 , T=X#R=X#0 , T=X#R=X#0 , Guardian Soldier , Punklash , 0 , 1222916500 , Pacifying Strike ) Guardian Soldier's Pacifying Strike dissipates from Punklash.
05:24:06: ( 10 , T=N#R=O#9223372045344094368 , T=N#R=O#9223372045344094368 , T=X#R=X#0 , T=X#R=X#0 , Transcendent Wardstone , Transcendent Wardstone , 0 , 2068625741 ,  ) Transcendent Wardstone's  misses Transcendent Wardstone.
05:24:07: ( 7 , T=P#R=G#211669182502152560 , T=P#R=G#211669182502152560 , T=X#R=X#0 , T=X#R=X#0 , Beawr , Beawr , 0 , 1092610256 , Temporary Rune Buff ) Beawr's Temporary Rune Buff fades from Beawr.
05:24:10: ( 15 , T=N#R=O#9223372045344094368 , T=N#R=O#9223372045344094368 , T=X#R=X#0 , T=X#R=X#0 , Transcendent Wardstone , Transcendent Wardstone , 0 , 2068625741 ,  ) Transcendent Wardstone dodges Transcendent Wardstone's .
05:24:11: ( 12 , T=N#R=O#9223372041367909653 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Cannon , Unknown , 0 , 0 ,  ) Cannon has died.
05:24:11: ( 15 , T=N#R=O#9223372045344094368 , T=N#R=O#9223372045344094368 , T=X#R=X#0 , T=X#R=X#0 , Transcendent Wardstone , Transcendent Wardstone , 0 , 2068625741 ,  ) Transcendent Wardstone dodges Transcendent Wardstone's .
05:24:13: ( 12 , T=N#R=O#9223372041367909660 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Cannon , Unknown , 0 , 0 ,  ) Cannon has died.
05:24:13: ( 12 , T=N#R=O#9223372041367909659 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Cannon , Unknown , 0 , 0 ,  ) Cannon has died.
05:24:14: ( 12 , T=N#R=O#9223372041367909652 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Cannon , Unknown , 0 , 0 ,  ) Cannon has died.
05:24:16: ( 10 , T=N#R=O#9223372045344094368 , T=N#R=O#9223372045344094368 , T=X#R=X#0 , T=X#R=X#0 , Transcendent Wardstone , Transcendent Wardstone , 0 , 2068625741 ,  ) Transcendent Wardstone's  misses Transcendent Wardstone.
05:24:18: ( 6 , T=P#R=O#211669182499620626 , T=P#R=O#211669182502155250 , T=X#R=X#0 , T=X#R=X#0 , Marcheline , Mordiggian , 0 , 53947900 ,  ) Mordiggian gains Marcheline's .
05:24:24: ( 12 , T=N#R=O#9223372041367909669 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Cannon , Unknown , 0 , 0 ,  ) Cannon has died.
05:24:24: ( 12 , T=N#R=O#9223372041367909650 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Cannon , Unknown , 0 , 0 ,  ) Cannon has died.
05:24:28: ( 12 , T=N#R=O#9223372041367909598 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Cannon , Unknown , 0 , 0 ,  ) Cannon has died.
05:24:29: ( 7 , T=P#R=O#211669182725790355 , T=P#R=O#211669182725790355 , T=X#R=X#0 , T=X#R=X#0 , Sorian , Sorian , 0 , 1903177846 , Stealth ) Sorian's Stealth fades from Sorian.
05:24:31: ( 7 , T=P#R=O#211669182713681592 , T=P#R=O#211669182713681592 , T=X#R=X#0 , T=X#R=X#0 , Zahrim , Zahrim , 0 , 473115348 , Warlock Armor ) Zahrim's Warlock Armor fades from Zahrim.
05:24:31: ( 7 , T=P#R=O#211669182713681592 , T=P#R=O#211669182713681592 , T=X#R=X#0 , T=X#R=X#0 , Zahrim , Zahrim , 0 , 2010713335 , Neddra's Might ) Zahrim's Neddra's Might fades from Zahrim.
05:24:39: ( 12 , T=N#R=O#9223372041367909678 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Cannon , Unknown , 0 , 0 ,  ) Cannon has died.
05:24:47: ( 7 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 857666633 , Neddra's Strength ) Aoife's Neddra's Strength fades from Aoife.
05:24:47: ( 7 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 473115348 , Warlock Armor ) Aoife's Warlock Armor fades from Aoife.
05:25:14: ( 7 , T=P#R=O#211669182538061365 , T=P#R=O#211669182538061365 , T=X#R=X#0 , T=X#R=X#0 , Gwenyth , Gwenyth , 0 , 1388137055 , Flaring Intellect ) Gwenyth's Flaring Intellect fades from Gwenyth.
05:25:18: ( 7 , T=P#R=O#211669182538061365 , T=P#R=O#211669182538061365 , T=X#R=X#0 , T=X#R=X#0 , Gwenyth , Gwenyth , 0 , 1724504260 , Fire Armor ) Gwenyth's Fire Armor fades from Gwenyth.
05:25:56: ( 7 , T=P#R=O#211669182722056658 , T=P#R=O#211669182722056658 , T=X#R=X#0 , T=X#R=X#0 , Vidarr , Vidarr , 0 , 1754219224 , Icewatch Cupcake ) Vidarr's Icewatch Cupcake fades from Vidarr.
05:26:21: ( 1 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Unknown , 0 , 1969688444 , Life Leech ) Aoife begins casting Life Leech.
05:26:22 Combat Begin
05:26:23: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. (56 overheal)
05:26:23: ( 8 , T=P#R=C#211669182567225542 , T=P#R=G#211669182502152560 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Beawr , 0 , 1969688444 , Life Leech ) Beawr is afflicted by Aoife's Life Leech.
05:26:23: ( 3 , T=P#R=C#211669182567225542 , T=P#R=G#211669182502152560 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Beawr , 144 , 1969688444 , Life Leech ) Aoife's Life Leech hits Beawr for 144 Death damage. 
05:26:23: ( 8 , T=P#R=C#211669182567225542 , T=P#R=G#211669182502152560 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Beawr , 0 , 1055329214 , Dark Touch ) Beawr is afflicted by Aoife's Dark Touch.
05:26:23: ( 6 , T=P#R=G#211669182502152560 , T=P#R=G#211669182502152560 , T=X#R=X#0 , T=X#R=X#0 , Beawr , Beawr , 0 , 861304448 , Shroud Of Agony ) Beawr gains Beawr's Shroud Of Agony.
05:26:23: ( 23 , T=P#R=C#211669182567225542 , T=P#R=G#211669182502152560 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Beawr , 182 , 1055329214 , Dark Touch ) Aoife's Dark Touch critically hits Beawr for 182 Death damage. 
05:26:24: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. 
05:26:25: ( 8 , T=P#R=C#211669182567225542 , T=P#R=G#211669182502152560 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Beawr , 0 , 993221111 , Necrosis ) Beawr is afflicted by Aoife's Necrosis.
05:26:25: ( 3 , T=P#R=C#211669182567225542 , T=P#R=G#211669182502152560 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Beawr , 108 , 993221111 , Necrosis ) Aoife's Necrosis hits Beawr for 108 Death damage. 
05:26:25: ( 28 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech critically heals Aoife for 0. (84 overheal)
05:26:25: ( 23 , T=P#R=C#211669182567225542 , T=P#R=G#211669182502152560 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Beawr , 216 , 1969688444 , Life Leech ) Aoife's Life Leech critically hits Beawr for 216 Death damage. 
05:26:25: ( 7 , T=P#R=G#211669182502152560 , T=P#R=G#211669182502152560 , T=X#R=X#0 , T=X#R=X#0 , Beawr , Beawr , 0 , 861304448 , Shroud Of Agony ) Beawr's Shroud Of Agony fades from Beawr.
05:26:25: ( 6 , T=P#R=G#211669182502152560 , T=P#R=G#211669182502152560 , T=X#R=X#0 , T=X#R=X#0 , Beawr , Beawr , 0 , 861304448 , Shroud Of Agony ) Beawr gains Beawr's Shroud Of Agony.
05:26:25: ( 4 , T=P#R=C#211669182567225542 , T=P#R=G#211669182502152560 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Beawr , 121 , 1055329214 , Dark Touch ) Beawr suffers 121 Death damage from Aoife's Dark Touch. 
05:26:26: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 473115348 , Warlock Armor ) Aoife's Warlock Armor heals Aoife for 0. (12 overheal)
05:26:26: ( 8 , T=P#R=G#211669182502152560 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Beawr , Aoife , 0 , 1441118300 , Sanction ) Aoife is afflicted by Beawr's Sanction.
05:26:26: ( 5 , T=P#R=G#211669182502152560 , T=P#R=G#211669182502152560 , T=X#R=X#0 , T=X#R=X#0 , Beawr , Beawr , 133 , 293562978 , Salvation ) Beawr's Salvation heals Beawr for 133. 
05:26:26: ( 3 , T=P#R=G#211669182502152560 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Beawr , Aoife , 812 , 449813826 , Sanction Heretic ) Beawr's Sanction Heretic hits Aoife for 812 Life damage. 
05:26:26: ( 6 , T=P#R=G#211669182502152560 , T=P#R=G#211669182502152560 , T=X#R=X#0 , T=X#R=X#0 , Beawr , Beawr , 0 , 1626474066 , Conviction ) Beawr gains Beawr's Conviction.
05:26:26: ( 3 , T=P#R=C#211669182567225542 , T=P#R=G#211669182502152560 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Beawr , 56 , 473115348 , Warlock Armor ) Aoife's Warlock Armor hits Beawr for 56 Death damage. 
05:26:27: ( 4 , T=P#R=C#211669182567225542 , T=P#R=G#211669182502152560 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Beawr , 108 , 993221111 , Necrosis ) Beawr suffers 108 Death damage from Aoife's Necrosis. 
05:26:27: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 56 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 56. 
