19:34:31: ( 3 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 602 , 1354128383 , Head Shot ) Er's Head Shot hits Elite Practice Dummy for 602 Physical damage. 
19:34:33: ( 3 , T=P#R=O#211669182715736592 , T=N#R=O#9223372039469428166 , T=X#R=X#0 , T=X#R=X#0 , Allyxiss , Abyssal Infiltrator , 35 , 1678936251 , Auto Attack ) Allyxiss's Auto Attack hits Abyssal Infiltrator for 35 Physical damage. 
19:34:34: ( 3 , T=N#R=O#9223372047180340168 , T=N#R=O#9223372039469428166 , T=P#R=O#211669182715736592 , T=X#R=X#0 , Falcon , Abyssal Infiltrator , 16 , 412361496 , Auto Attack ) Falcon's Auto Attack hits Abyssal Infiltrator for 16 Physical damage. 
19:34:34: ( 9 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 0 , 1243745316 , Barbed Shot ) Er's Barbed Shot dissipates from Elite Practice Dummy.
19:34:34: ( 3 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 66 , 1210012596 , Auto Attack ) Er's Auto Attack hits Elite Practice Dummy for 66 Physical damage. 
19:34:34: ( 1 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Unknown , 0 , 1969688444 , Life Leech ) Aoife begins casting Life Leech.
19:34:35: ( 3 , T=N#R=O#9223372047180340168 , T=N#R=O#9223372039469428166 , T=P#R=O#211669182715736592 , T=X#R=X#0 , Falcon , Abyssal Infiltrator , 43 , 1340496151 , Bite ) Falcon's Bite hits Abyssal Infiltrator for 43 Physical damage. 
19:34:35: ( 11 , T=P#R=O#211669182715736592 , T=N#R=O#9223372039469428166 , T=X#R=X#0 , T=X#R=X#0 , Allyxiss , Abyssal Infiltrator , 0 , 0 ,  ) Allyxiss has slain Abyssal Infiltrator!
19:34:35: ( 3 , T=P#R=O#211669182715736592 , T=N#R=O#9223372039469428166 , T=X#R=X#0 , T=X#R=X#0 , Allyxiss , Abyssal Infiltrator , 105 , 2014675980 , Searing Strike ) Allyxiss's Searing Strike hits Abyssal Infiltrator for 105 Fire damage. (33 overkill)
19:34:35: ( 3 , T=N#R=O#9223372039469428166 , T=P#R=O#211669182715736592 , T=X#R=X#0 , T=X#R=X#0 , Abyssal Infiltrator , Allyxiss , 20 , 795641470 , Crushing Blow ) Abyssal Infiltrator's Crushing Blow hits Allyxiss for 20 Physical damage. 
19:34:35: ( 9 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 0 , 623296176 , Quick Shot ) Er's Quick Shot dissipates from Elite Practice Dummy.
19:34:35: ( 4 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 23 , 623296176 , Quick Shot ) Elite Practice Dummy suffers 23 Physical damage from Er's Quick Shot. 
19:34:36: ( 1 , T=P#R=O#211669182557759289 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Er , Unknown , 0 , 8916230 , Shadow Fire ) Er begins casting Shadow Fire.
19:34:36: ( 8 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1055329214 , Dark Touch ) Boss Practice Dummy is afflicted by Aoife's Dark Touch.
19:34:36: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 138 , 1055329214 , Dark Touch ) Aoife's Dark Touch hits Boss Practice Dummy for 138 Death damage. 
19:34:36 Combat Begin
19:34:36: ( 28 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 95 , 1969688444 , Life Leech ) Aoife's Life Leech critically heals Aoife for 95. 
19:34:36: ( 8 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1969688444 , Life Leech ) Boss Practice Dummy is afflicted by Aoife's Life Leech.
19:34:36: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 246 , 1969688444 , Life Leech ) Aoife's Life Leech critically hits Boss Practice Dummy for 246 Death damage. 
19:34:36: ( 3 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 84 , 1210012596 , Auto Attack ) Er's Auto Attack hits Elite Practice Dummy for 84 Physical damage. 
19:34:37: ( 3 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 122 , 1918871266 , Master Archer ) Er's Master Archer hits Elite Practice Dummy for 122 Air damage. 
19:34:38: ( 28 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech critically heals Aoife for 0. 
19:34:38: ( 7 , T=P#R=O#211669182706716593 , T=P#R=O#211669182706716593 , T=X#R=X#0 , T=X#R=X#0 , Picpoc , Picpoc , 0 , 630408400 , Dauntless Strike ) Picpoc's Dauntless Strike fades from Picpoc.
19:34:38: ( 8 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 993221111 , Necrosis ) Boss Practice Dummy is afflicted by Aoife's Necrosis.
19:34:38: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 184 , 993221111 , Necrosis ) Aoife's Necrosis critically hits Boss Practice Dummy for 184 Death damage. 
19:34:38: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 208 , 1055329214 , Dark Touch ) Aoife's Dark Touch critically hits Boss Practice Dummy for 208 Death damage. 
19:34:38: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 63 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 63. 
19:34:38: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 164 , 1969688444 , Life Leech ) Boss Practice Dummy suffers 164 Death damage from Aoife's Life Leech. 
19:34:39: ( 23 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 582 , 8916230 , Shadow Fire ) Er's Shadow Fire critically hits Elite Practice Dummy for 582 Physical damage. 
19:34:39: ( 3 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 121 , 1918871266 , Master Archer ) Er's Master Archer hits Elite Practice Dummy for 121 Air damage. 
19:34:39: ( 6 , T=P#R=O#211669182557759289 , T=P#R=O#211669182557759289 , T=X#R=X#0 , T=X#R=X#0 , Er , Er , 0 , 8916230 , Shadow Fire ) Er gains Er's Shadow Fire.
19:34:39: ( 6 , T=P#R=O#211669182715736592 , T=P#R=O#211669182715736592 , T=X#R=X#0 , T=X#R=X#0 , Allyxiss , Allyxiss , 0 , 1557281695 , Storm Blade ) Allyxiss gains Allyxiss's Storm Blade.
19:34:39: ( 8 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 764255181 , Defile ) Boss Practice Dummy is afflicted by Aoife's Defile.
19:34:39: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 231 , 764255181 , Defile ) Aoife's Defile hits Boss Practice Dummy for 231 Death damage. 
19:34:39: ( 8 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 0 , 1243745316 , Barbed Shot ) Elite Practice Dummy is afflicted by Er's Barbed Shot.
19:34:39: ( 3 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 159 , 1243745316 , Barbed Shot ) Er's Barbed Shot hits Elite Practice Dummy for 159 Physical damage. 
19:34:40: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 123 , 993221111 , Necrosis ) Boss Practice Dummy suffers 123 Death damage from Aoife's Necrosis. 
19:34:40: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 138 , 1055329214 , Dark Touch ) Boss Practice Dummy suffers 138 Death damage from Aoife's Dark Touch. 
19:34:40: ( 28 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 95 , 1969688444 , Life Leech ) Aoife's Life Leech critically heals Aoife for 95. 
19:34:40: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 246 , 1969688444 , Life Leech ) Aoife's Life Leech critically hits Boss Practice Dummy for 246 Death damage. 
19:34:40: ( 6 , T=P#R=O#211669182715736592 , T=P#R=O#211669182715736592 , T=X#R=X#0 , T=X#R=X#0 , Allyxiss , Allyxiss , 0 , 1115947072 , Avatar of Wind ) Allyxiss gains Allyxiss's Avatar of Wind.
19:34:40: ( 9 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 0 , 1243745316 , Barbed Shot ) Er's Barbed Shot dissipates from Elite Practice Dummy.
19:34:40: ( 8 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 0 , 1243745316 , Barbed Shot ) Elite Practice Dummy is afflicted by Er's Barbed Shot.
19:34:40: ( 3 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 132 , 1243745316 , Barbed Shot ) Er's Barbed Shot hits Elite Practice Dummy for 132 Physical damage. 
19:34:41: ( 3 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 61 , 1210012596 , Auto Attack ) Er's Auto Attack hits Elite Practice Dummy for 61 Physical damage. 
19:34:41: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 346 , 764255181 , Defile ) Aoife's Defile critically hits Boss Practice Dummy for 346 Death damage. 
19:34:42: ( 8 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 0 , 623296176 , Quick Shot ) Elite Practice Dummy is afflicted by Er's Quick Shot.
19:34:42: ( 3 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 237 , 623296176 , Quick Shot ) Er's Quick Shot hits Elite Practice Dummy for 237 Physical damage. 
19:34:42: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 134 , 1109565430 , Draining Bolt ) Aoife's Draining Bolt heals Aoife for 134. (214 overheal)
19:34:42: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 184 , 993221111 , Necrosis ) Aoife's Necrosis critically hits Boss Practice Dummy for 184 Death damage. 
19:34:42: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 696 , 1109565430 , Draining Bolt ) Aoife's Draining Bolt hits Boss Practice Dummy for 696 Death damage. 
19:34:42: ( 7 , T=P#R=O#211669182715736592 , T=P#R=O#211669182715736592 , T=X#R=X#0 , T=X#R=X#0 , Allyxiss , Allyxiss , 0 , 451378170 , Soldier's Bearing ) Allyxiss's Soldier's Bearing fades from Allyxiss.
19:34:42: ( 6 , T=P#R=O#211669182715736592 , T=P#R=O#211669182715736592 , T=X#R=X#0 , T=X#R=X#0 , Allyxiss , Allyxiss , 0 , 451378170 , Soldier's Bearing ) Allyxiss gains Allyxiss's Soldier's Bearing.
19:34:42: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 208 , 1055329214 , Dark Touch ) Aoife's Dark Touch critically hits Boss Practice Dummy for 208 Death damage. 
19:34:42: ( 1 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Unknown , 0 , 1661668470 , Void Bolt ) Aoife begins casting Void Bolt.
19:34:42: ( 28 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech critically heals Aoife for 0. (95 overheal)
19:34:42: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 246 , 1969688444 , Life Leech ) Aoife's Life Leech critically hits Boss Practice Dummy for 246 Death damage. 
19:34:43: ( 9 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 0 , 623296176 , Quick Shot ) Er's Quick Shot dissipates from Elite Practice Dummy.
19:34:43: ( 8 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 0 , 623296176 , Quick Shot ) Elite Practice Dummy is afflicted by Er's Quick Shot.
19:34:43: ( 3 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 230 , 623296176 , Quick Shot ) Er's Quick Shot hits Elite Practice Dummy for 230 Physical damage. 
19:34:43: ( 3 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 67 , 1740119144 , Virulent Poison ) Er's Virulent Poison hits Elite Practice Dummy for 67 Water damage. 
19:34:43: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 231 , 764255181 , Defile ) Boss Practice Dummy suffers 231 Death damage from Aoife's Defile. 
19:34:43: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1109565430 , Draining Bolt ) Aoife's Draining Bolt heals Aoife for 0. 
19:34:44: ( 3 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 52 , 1210012596 , Auto Attack ) Er's Auto Attack hits Elite Practice Dummy for 52 Physical damage. 
19:34:44: ( 1 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Unknown , 0 , 1661668470 , Void Bolt ) Aoife begins casting Void Bolt.
19:34:44: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 123 , 993221111 , Necrosis ) Boss Practice Dummy suffers 123 Death damage from Aoife's Necrosis. 
19:34:44: ( 27 , T=P#R=O#211669182557759289 , T=P#R=O#211669182557759289 , T=X#R=X#0 , T=X#R=X#0 , Er , Er , 1 , 1239869022 , Opportunity ) Er's Opportunity gives Er 1 .
19:34:44: ( 5 , T=P#R=O#211669182557759289 , T=P#R=O#211669182557759289 , T=X#R=X#0 , T=X#R=X#0 , Er , Er , 0 , 1904902467 , Waning Shadesource ) Er's Waning Shadesource heals Er for 0. (164 overheal)
19:34:44: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 208 , 1055329214 , Dark Touch ) Aoife's Dark Touch critically hits Boss Practice Dummy for 208 Death damage. 
19:34:44: ( 3 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 787 , 1354128383 , Head Shot ) Er's Head Shot hits Elite Practice Dummy for 787 Physical damage. 
19:34:44: ( 3 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 101 , 1904902467 , Waning Shadesource ) Er's Waning Shadesource hits Elite Practice Dummy for 101 Death damage. 
19:34:44: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. (63 overheal)
19:34:44: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 164 , 1969688444 , Life Leech ) Boss Practice Dummy suffers 164 Death damage from Aoife's Life Leech. 
19:34:45: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 655 , 1661668470 , Void Bolt ) Aoife's Void Bolt hits Boss Practice Dummy for 655 Death damage. 
19:34:45: ( 3 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 28 , 623296176 , Quick Shot ) Er's Quick Shot hits Elite Practice Dummy for 28 Physical damage. 
19:34:45: ( 3 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 90 , 1918871266 , Master Archer ) Er's Master Archer hits Elite Practice Dummy for 90 Air damage. 
19:34:45: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 231 , 764255181 , Defile ) Boss Practice Dummy suffers 231 Death damage from Aoife's Defile. 
19:34:45: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. (69 overheal)
19:34:45: ( 1 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Unknown , 0 , 1661668470 , Void Bolt ) Aoife begins casting Void Bolt.
19:34:45: ( 9 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1969688444 , Life Leech ) Aoife's Life Leech dissipates from Boss Practice Dummy.
19:34:45: ( 8 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1969688444 , Life Leech ) Boss Practice Dummy is afflicted by Aoife's Life Leech.
19:34:45: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 178 , 1969688444 , Life Leech ) Aoife's Life Leech hits Boss Practice Dummy for 178 Death damage. 
19:34:46: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 123 , 993221111 , Necrosis ) Boss Practice Dummy suffers 123 Death damage from Aoife's Necrosis. 
19:34:46: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 138 , 1055329214 , Dark Touch ) Boss Practice Dummy suffers 138 Death damage from Aoife's Dark Touch. 
19:34:46: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 659 , 1661668470 , Void Bolt ) Aoife's Void Bolt hits Boss Practice Dummy for 659 Death damage. 
19:34:46: ( 3 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 76 , 1210012596 , Auto Attack ) Er's Auto Attack hits Elite Practice Dummy for 76 Physical damage. 
19:34:46: ( 3 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 115 , 1918871266 , Master Archer ) Er's Master Archer hits Elite Practice Dummy for 115 Air damage. 
19:34:47: ( 9 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 0 , 1243745316 , Barbed Shot ) Er's Barbed Shot dissipates from Elite Practice Dummy.
19:34:47: ( 3 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 67 , 1740119144 , Virulent Poison ) Er's Virulent Poison hits Elite Practice Dummy for 67 Water damage. 
19:34:47: ( 23 , T=P#R=O#211669182557759289 , T=N#R=O#9223372041250411519 , T=X#R=X#0 , T=X#R=X#0 , Er , Elite Practice Dummy , 50 , 623296176 , Quick Shot ) Er's Quick Shot critically hits Elite Practice Dummy for 50 Physical damage. 
19:34:47: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. 
19:34:47: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. (69 overheal)
19:34:47: ( 1 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Unknown , 0 , 1661668470 , Void Bolt ) Aoife begins casting Void Bolt.
19:34:47: ( 9 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1969688444 , Life Leech ) Aoife's Life Leech dissipates from Boss Practice Dummy.
19:34:47: ( 8 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1969688444 , Life Leech ) Boss Practice Dummy is afflicted by Aoife's Life Leech.
19:34:47: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 178 , 1969688444 , Life Leech ) Aoife's Life Leech hits Boss Practice Dummy for 178 Death damage. 
19:34:47: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 231 , 764255181 , Defile ) Boss Practice Dummy suffers 231 Death damage from Aoife's Defile. 
19:34:48: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041250411514 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 657 , 1661668470 , Void Bolt ) Aoife's Void Bolt hits Boss Practice Dummy for 657 Death damage. 
