06:48:10: ( 7 , T=P#R=O#211669182502159132 , T=P#R=O#211669182502159132 , T=X#R=X#0 , T=X#R=X#0 , Erhellen , Erhellen , 0 , 1092610256 , Temporary Rune Buff ) Erhellen's Temporary Rune Buff fades from Erhellen.
06:49:00: ( 5 , T=P#R=O#211669182611350183 , T=P#R=O#211669182611350183 , T=X#R=X#0 , T=X#R=X#0 , Shananise , Shananise , 439 , 1998712331 , Ironpine Melange ) Shananise's Ironpine Melange heals Shananise for 439. 
06:49:01: ( 5 , T=P#R=O#211669182611350183 , T=P#R=O#211669182611350183 , T=X#R=X#0 , T=X#R=X#0 , Shananise , Shananise , 439 , 1998712331 , Ironpine Melange ) Shananise's Ironpine Melange heals Shananise for 439. 
06:49:02: ( 5 , T=P#R=O#211669182611350183 , T=P#R=O#211669182611350183 , T=X#R=X#0 , T=X#R=X#0 , Shananise , Shananise , 195 , 1998712331 , Ironpine Melange ) Shananise's Ironpine Melange heals Shananise for 195. (244 overheal)
06:49:03: ( 5 , T=P#R=O#211669182611350183 , T=P#R=O#211669182611350183 , T=X#R=X#0 , T=X#R=X#0 , Shananise , Shananise , 0 , 1998712331 , Ironpine Melange ) Shananise's Ironpine Melange heals Shananise for 0. (439 overheal)
06:49:04: ( 5 , T=P#R=O#211669182611350183 , T=P#R=O#211669182611350183 , T=X#R=X#0 , T=X#R=X#0 , Shananise , Shananise , 0 , 1998712331 , Ironpine Melange ) Shananise's Ironpine Melange heals Shananise for 0. (439 overheal)
06:49:04: ( 7 , T=P#R=O#211669182611350183 , T=P#R=O#211669182611350183 , T=X#R=X#0 , T=X#R=X#0 , Shananise , Shananise , 0 , 1998712331 , Ironpine Melange ) Shananise's Ironpine Melange fades from Shananise.
06:49:10: ( 6 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 857666633 , Neddra's Strength ) Aoife gains Aoife's Neddra's Strength.
06:49:11: ( 1 , T=P#R=O#211669182660355923 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Theoretically , Unknown , 0 , 1998712331 , Ironpine Melange ) Theoretically begins casting Ironpine Melange.
06:49:11: ( 5 , T=P#R=O#211669182660355923 , T=P#R=O#211669182660355923 , T=X#R=X#0 , T=X#R=X#0 , Theoretically , Theoretically , 439 , 1998712331 , Ironpine Melange ) Theoretically's Ironpine Melange heals Theoretically for 439. 
06:49:11: ( 27 , T=P#R=O#211669182660355923 , T=P#R=O#211669182660355923 , T=X#R=X#0 , T=X#R=X#0 , Theoretically , Theoretically , 494 , 1998712331 , Ironpine Melange ) Theoretically's Ironpine Melange gives Theoretically 494 Mana.
06:49:11: ( 6 , T=P#R=O#211669182660355923 , T=P#R=O#211669182660355923 , T=X#R=X#0 , T=X#R=X#0 , Theoretically , Theoretically , 0 , 1998712331 , Ironpine Melange ) Theoretically gains Theoretically's Ironpine Melange.
06:49:11: ( 6 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 473115348 , Warlock Armor ) Aoife gains Aoife's Warlock Armor.
06:49:12: ( 5 , T=P#R=O#211669182660355923 , T=P#R=O#211669182660355923 , T=X#R=X#0 , T=X#R=X#0 , Theoretically , Theoretically , 439 , 1998712331 , Ironpine Melange ) Theoretically's Ironpine Melange heals Theoretically for 439. 
06:49:12: ( 27 , T=P#R=O#211669182660355923 , T=P#R=O#211669182660355923 , T=X#R=X#0 , T=X#R=X#0 , Theoretically , Theoretically , 494 , 1998712331 , Ironpine Melange ) Theoretically's Ironpine Melange gives Theoretically 494 Mana.
06:49:13: ( 1 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Unknown , 0 , 528423916 , Neddra's Torture ) Aoife begins casting Neddra's Torture.
06:49:13: ( 5 , T=P#R=O#211669182660355923 , T=P#R=O#211669182660355923 , T=X#R=X#0 , T=X#R=X#0 , Theoretically , Theoretically , 439 , 1998712331 , Ironpine Melange ) Theoretically's Ironpine Melange heals Theoretically for 439. 
06:49:13: ( 27 , T=P#R=O#211669182660355923 , T=P#R=O#211669182660355923 , T=X#R=X#0 , T=X#R=X#0 , Theoretically , Theoretically , 494 , 1998712331 , Ironpine Melange ) Theoretically's Ironpine Melange gives Theoretically 494 Mana.
06:49:14: ( 5 , T=P#R=O#211669182660355923 , T=P#R=O#211669182660355923 , T=X#R=X#0 , T=X#R=X#0 , Theoretically , Theoretically , 439 , 1998712331 , Ironpine Melange ) Theoretically's Ironpine Melange heals Theoretically for 439. 
06:49:14: ( 27 , T=P#R=O#211669182660355923 , T=P#R=O#211669182660355923 , T=X#R=X#0 , T=X#R=X#0 , Theoretically , Theoretically , 494 , 1998712331 , Ironpine Melange ) Theoretically's Ironpine Melange gives Theoretically 494 Mana.
06:49:14: ( 8 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 528423916 , Neddra's Torture ) Boss Practice Dummy is afflicted by Aoife's Neddra's Torture.
06:49:14 Combat Begin
06:49:15: ( 1 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Unknown , 0 , 1969688444 , Life Leech ) Aoife begins casting Life Leech.
06:49:15: ( 5 , T=P#R=O#211669182660355923 , T=P#R=O#211669182660355923 , T=X#R=X#0 , T=X#R=X#0 , Theoretically , Theoretically , 439 , 1998712331 , Ironpine Melange ) Theoretically's Ironpine Melange heals Theoretically for 439. 
06:49:15: ( 27 , T=P#R=O#211669182660355923 , T=P#R=O#211669182660355923 , T=X#R=X#0 , T=X#R=X#0 , Theoretically , Theoretically , 494 , 1998712331 , Ironpine Melange ) Theoretically's Ironpine Melange gives Theoretically 494 Mana.
06:49:16: ( 5 , T=P#R=O#211669182660355923 , T=P#R=O#211669182660355923 , T=X#R=X#0 , T=X#R=X#0 , Theoretically , Theoretically , 439 , 1998712331 , Ironpine Melange ) Theoretically's Ironpine Melange heals Theoretically for 439. 
06:49:16: ( 27 , T=P#R=O#211669182660355923 , T=P#R=O#211669182660355923 , T=X#R=X#0 , T=X#R=X#0 , Theoretically , Theoretically , 494 , 1998712331 , Ironpine Melange ) Theoretically's Ironpine Melange gives Theoretically 494 Mana.
06:49:16: ( 8 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1055329214 , Dark Touch ) Boss Practice Dummy is afflicted by Aoife's Dark Touch.
06:49:16: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 148 , 1055329214 , Dark Touch ) Aoife's Dark Touch hits Boss Practice Dummy for 148 Death damage. 
06:49:17: ( 28 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 102 , 1969688444 , Life Leech ) Aoife's Life Leech critically heals Aoife for 102. 
06:49:17: ( 8 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1969688444 , Life Leech ) Boss Practice Dummy is afflicted by Aoife's Life Leech.
06:49:17: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 264 , 1969688444 , Life Leech ) Aoife's Life Leech critically hits Boss Practice Dummy for 264 Death damage. 
06:49:17: ( 5 , T=P#R=O#211669182660355923 , T=P#R=O#211669182660355923 , T=X#R=X#0 , T=X#R=X#0 , Theoretically , Theoretically , 439 , 1998712331 , Ironpine Melange ) Theoretically's Ironpine Melange heals Theoretically for 439. 
06:49:17: ( 27 , T=P#R=O#211669182660355923 , T=P#R=O#211669182660355923 , T=X#R=X#0 , T=X#R=X#0 , Theoretically , Theoretically , 494 , 1998712331 , Ironpine Melange ) Theoretically's Ironpine Melange gives Theoretically 494 Mana.
06:49:18: ( 28 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech critically heals Aoife for 0. 
06:49:18: ( 8 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 993221111 , Necrosis ) Boss Practice Dummy is afflicted by Aoife's Necrosis.
06:49:18: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 196 , 993221111 , Necrosis ) Aoife's Necrosis critically hits Boss Practice Dummy for 196 Death damage. 
06:49:18: ( 5 , T=P#R=O#211669182660355923 , T=P#R=O#211669182660355923 , T=X#R=X#0 , T=X#R=X#0 , Theoretically , Theoretically , 439 , 1998712331 , Ironpine Melange ) Theoretically's Ironpine Melange heals Theoretically for 439. 
06:49:18: ( 27 , T=P#R=O#211669182660355923 , T=P#R=O#211669182660355923 , T=X#R=X#0 , T=X#R=X#0 , Theoretically , Theoretically , 494 , 1998712331 , Ironpine Melange ) Theoretically's Ironpine Melange gives Theoretically 494 Mana.
06:49:19: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 222 , 1055329214 , Dark Touch ) Aoife's Dark Touch critically hits Boss Practice Dummy for 222 Death damage. 
06:49:19: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 68 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 68. 
06:49:19: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 176 , 1969688444 , Life Leech ) Boss Practice Dummy suffers 176 Death damage from Aoife's Life Leech. 
06:49:19: ( 5 , T=P#R=O#211669182660355923 , T=P#R=O#211669182660355923 , T=X#R=X#0 , T=X#R=X#0 , Theoretically , Theoretically , 439 , 1998712331 , Ironpine Melange ) Theoretically's Ironpine Melange heals Theoretically for 439. 
06:49:19: ( 27 , T=P#R=O#211669182660355923 , T=P#R=O#211669182660355923 , T=X#R=X#0 , T=X#R=X#0 , Theoretically , Theoretically , 284 , 1998712331 , Ironpine Melange ) Theoretically's Ironpine Melange gives Theoretically 284 Mana.
06:49:20: ( 8 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 764255181 , Defile ) Boss Practice Dummy is afflicted by Aoife's Defile.
06:49:20: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 256 , 764255181 , Defile ) Aoife's Defile hits Boss Practice Dummy for 256 Death damage. 
06:49:20: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 130 , 993221111 , Necrosis ) Boss Practice Dummy suffers 130 Death damage from Aoife's Necrosis. 
06:49:20: ( 5 , T=P#R=O#211669182660355923 , T=P#R=O#211669182660355923 , T=X#R=X#0 , T=X#R=X#0 , Theoretically , Theoretically , 439 , 1998712331 , Ironpine Melange ) Theoretically's Ironpine Melange heals Theoretically for 439. 
06:49:21: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 148 , 1055329214 , Dark Touch ) Boss Practice Dummy suffers 148 Death damage from Aoife's Dark Touch. 
06:49:21: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 68 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 68. 
06:49:21: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 176 , 1969688444 , Life Leech ) Boss Practice Dummy suffers 176 Death damage from Aoife's Life Leech. 
06:49:21: ( 5 , T=P#R=O#211669182660355923 , T=P#R=O#211669182660355923 , T=X#R=X#0 , T=X#R=X#0 , Theoretically , Theoretically , 439 , 1998712331 , Ironpine Melange ) Theoretically's Ironpine Melange heals Theoretically for 439. 
06:49:21: ( 7 , T=P#R=O#211669182660355923 , T=P#R=O#211669182660355923 , T=X#R=X#0 , T=X#R=X#0 , Theoretically , Theoretically , 0 , 1998712331 , Ironpine Melange ) Theoretically's Ironpine Melange fades from Theoretically.
06:49:22: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 256 , 764255181 , Defile ) Boss Practice Dummy suffers 256 Death damage from Aoife's Defile. 
06:49:22: ( 28 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 79 , 1109565430 , Draining Bolt ) Aoife's Draining Bolt critically heals Aoife for 79. (481 overheal)
06:49:22: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 1120 , 1109565430 , Draining Bolt ) Aoife's Draining Bolt critically hits Boss Practice Dummy for 1120 Death damage. 
06:49:22: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 130 , 993221111 , Necrosis ) Boss Practice Dummy suffers 130 Death damage from Aoife's Necrosis. 
06:49:22: ( 1 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Unknown , 0 , 1661668470 , Void Bolt ) Aoife begins casting Void Bolt.
06:49:23: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 222 , 1055329214 , Dark Touch ) Aoife's Dark Touch critically hits Boss Practice Dummy for 222 Death damage. 
06:49:23: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. (68 overheal)
06:49:23: ( 28 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1109565430 , Draining Bolt ) Aoife's Draining Bolt critically heals Aoife for 0. 
06:49:23: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 176 , 1969688444 , Life Leech ) Boss Practice Dummy suffers 176 Death damage from Aoife's Life Leech. 
06:49:24: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 384 , 764255181 , Defile ) Aoife's Defile critically hits Boss Practice Dummy for 384 Death damage. 
06:49:24: ( 1 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Unknown , 0 , 1661668470 , Void Bolt ) Aoife begins casting Void Bolt.
06:49:24: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 130 , 993221111 , Necrosis ) Boss Practice Dummy suffers 130 Death damage from Aoife's Necrosis. 
06:49:25: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 148 , 1055329214 , Dark Touch ) Boss Practice Dummy suffers 148 Death damage from Aoife's Dark Touch. 
06:49:25: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 644 , 1661668470 , Void Bolt ) Aoife's Void Bolt hits Boss Practice Dummy for 644 Death damage. 
06:49:25: ( 28 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech critically heals Aoife for 0. (102 overheal)
06:49:25: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 264 , 1969688444 , Life Leech ) Aoife's Life Leech critically hits Boss Practice Dummy for 264 Death damage. 
06:49:25: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. (68 overheal)
06:49:25: ( 9 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1969688444 , Life Leech ) Aoife's Life Leech dissipates from Boss Practice Dummy.
06:49:25: ( 8 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1969688444 , Life Leech ) Boss Practice Dummy is afflicted by Aoife's Life Leech.
06:49:25: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 176 , 1969688444 , Life Leech ) Aoife's Life Leech hits Boss Practice Dummy for 176 Death damage. 
06:49:25: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 256 , 764255181 , Defile ) Boss Practice Dummy suffers 256 Death damage from Aoife's Defile. 
06:49:26: ( 1 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Unknown , 0 , 1661668470 , Void Bolt ) Aoife begins casting Void Bolt.
06:49:26: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 130 , 993221111 , Necrosis ) Boss Practice Dummy suffers 130 Death damage from Aoife's Necrosis. 
06:49:26: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 641 , 1661668470 , Void Bolt ) Aoife's Void Bolt hits Boss Practice Dummy for 641 Death damage. 
06:49:26: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. 
06:49:27: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 148 , 1055329214 , Dark Touch ) Boss Practice Dummy suffers 148 Death damage from Aoife's Dark Touch. 
06:49:27: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. (68 overheal)
06:49:27: ( 9 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1969688444 , Life Leech ) Aoife's Life Leech dissipates from Boss Practice Dummy.
06:49:27: ( 8 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1969688444 , Life Leech ) Boss Practice Dummy is afflicted by Aoife's Life Leech.
06:49:27: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 176 , 1969688444 , Life Leech ) Aoife's Life Leech hits Boss Practice Dummy for 176 Death damage. 
06:49:27: ( 1 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Unknown , 0 , 1661668470 , Void Bolt ) Aoife begins casting Void Bolt.
06:49:28: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 256 , 764255181 , Defile ) Boss Practice Dummy suffers 256 Death damage from Aoife's Defile. 
06:49:28: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 644 , 1661668470 , Void Bolt ) Aoife's Void Bolt hits Boss Practice Dummy for 644 Death damage. 
06:49:28: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. 
06:49:28: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 130 , 993221111 , Necrosis ) Boss Practice Dummy suffers 130 Death damage from Aoife's Necrosis. 
06:49:29: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. (68 overheal)
06:49:29: ( 9 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1969688444 , Life Leech ) Aoife's Life Leech dissipates from Boss Practice Dummy.
06:49:29: ( 8 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1969688444 , Life Leech ) Boss Practice Dummy is afflicted by Aoife's Life Leech.
06:49:29: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 148 , 1055329214 , Dark Touch ) Boss Practice Dummy suffers 148 Death damage from Aoife's Dark Touch. 
06:49:29: ( 3 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 176 , 1969688444 , Life Leech ) Aoife's Life Leech hits Boss Practice Dummy for 176 Death damage. 
06:49:29: ( 1 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Unknown , 0 , 1661668470 , Void Bolt ) Aoife begins casting Void Bolt.
06:49:30: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 384 , 764255181 , Defile ) Aoife's Defile critically hits Boss Practice Dummy for 384 Death damage. 
06:49:30: ( 23 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 970 , 1661668470 , Void Bolt ) Aoife's Void Bolt critically hits Boss Practice Dummy for 970 Death damage. 
06:49:30: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. 
06:49:30: ( 5 , T=P#R=C#211669182567225542 , T=P#R=C#211669182567225542 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Aoife , 0 , 1969688444 , Life Leech ) Aoife's Life Leech heals Aoife for 0. (65 overheal)
06:49:30: ( 9 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1969688444 , Life Leech ) Aoife's Life Leech dissipates from Boss Practice Dummy.
06:49:30: ( 8 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 0 , 1969688444 , Life Leech ) Boss Practice Dummy is afflicted by Aoife's Life Leech.
06:49:30: ( 4 , T=P#R=C#211669182567225542 , T=N#R=O#9223372041367849858 , T=X#R=X#0 , T=X#R=X#0 , Aoife , Boss Practice Dummy , 130 , 993221111 , Necrosis ) Boss Practice Dummy suffers 130 Death damage from Aoife's Necrosis. 
